source,route_name,uri,controller,action,csv_menu_key,resolved_layer,resolved_menu_key,content_exists,csv_match,module
resource,admin.employees.show,admin/employees/{id},EmployeeController,show,,3,master-data.employees,yes,yes,
resource,admin.employees.create,admin/employees/create,EmployeeController,create,,3,master-data.employees,yes,yes,
resource,admin.employees.edit,admin/employees/{id}/edit,EmployeeController,edit,,3,master-data.employees,yes,yes,
resource,admin.banks.index,admin/banks,BankController,index,,1,master-data.banks,yes,yes,
resource,admin.banks.show,admin/banks/{id},BankController,show,,3,master-data.banks,yes,yes,
resource,admin.banks.create,admin/banks/create,BankController,create,,3,master-data.banks,yes,yes,
resource,admin.banks.edit,admin/banks/{id}/edit,BankController,edit,,3,master-data.banks,yes,yes,
resource,admin.ledgers.index,admin/ledgers,LedgerController,index,,1,master-data.ledgers,yes,yes,
resource,admin.ledgers.show,admin/ledgers/{id},LedgerController,show,,3,master-data.ledgers,yes,yes,
resource,admin.ledgers.create,admin/ledgers/create,LedgerController,create,,3,master-data.ledgers,yes,yes,
resource,admin.ledgers.edit,admin/ledgers/{id}/edit,LedgerController,edit,,3,master-data.ledgers,yes,yes,
resource,admin.branches.index,admin/branches,BranchController,index,,1,master-data.branches,yes,yes,
resource,admin.branches.show,admin/branches/{id},BranchController,show,,3,master-data.branches,yes,yes,
resource,admin.branches.create,admin/branches/create,BranchController,create,,3,master-data.branches,yes,yes,
resource,admin.branches.edit,admin/branches/{id}/edit,BranchController,edit,,3,master-data.branches,yes,yes,
resource,admin.warehouses.index,admin/warehouses,WarehouseController,index,,1,master-data.warehouses,yes,yes,
resource,admin.warehouses.show,admin/warehouses/{id},WarehouseController,show,,3,master-data.warehouses,yes,yes,
resource,admin.warehouses.create,admin/warehouses/create,WarehouseController,create,,3,master-data.warehouses,yes,yes,
resource,admin.warehouses.edit,admin/warehouses/{id}/edit,WarehouseController,edit,,3,master-data.warehouses,yes,yes,
resource,admin.users.index,admin/users,UserController,index,,1,system.users,yes,yes,
resource,admin.users.show,admin/users/{id},UserController,show,,3,system.users,yes,yes,
resource,admin.users.create,admin/users/create,UserController,create,,3,system.users,yes,yes,
resource,admin.users.edit,admin/users/{id}/edit,UserController,edit,,3,system.users,yes,yes,
resource,admin.stock-take.index,admin/stock-take,StockTakeController,index,,1,inventory.stock-take,yes,yes,
resource,admin.stock-take.create,admin/stock-take/create,StockTakeController,create,,3,inventory.stock-take,yes,yes,
resource,admin.stock-take.show,admin/stock-take/{id},StockTakeController,show,,3,inventory.stock-take,yes,yes,
resource,admin.warehouse-transfers.index,admin/warehouse-transfers,WarehouseTransferController,index,,1,inventory.warehouse-transfers,yes,yes,
resource,admin.warehouse-transfers.create,admin/warehouse-transfers/create,WarehouseTransferController,create,,3,inventory.warehouse-transfers,yes,yes,
resource,admin.warehouse-transfers.show,admin/warehouse-transfers/{id},WarehouseTransferController,show,,3,inventory.warehouse-transfers,yes,yes,
resource,admin.branch-demands.index,admin/branch-demands,BranchDemandController,index,,1,finance.branch-demand,yes,yes,
resource,admin.branch-demands.create,admin/branch-demands/create,BranchDemandController,create,,3,finance.branch-demand,yes,yes,
resource,admin.branch-demands.show,admin/branch-demands/{id},BranchDemandController,show,,3,finance.branch-demand,yes,yes,
resource,admin.purchase-orders.index,admin/purchase-orders,PurchaseOrderController,index,,1,purchasing.purchase-orders,yes,yes,
resource,admin.purchase-orders.create,admin/purchase-orders/create,PurchaseOrderController,create,,3,purchasing.purchase-orders,yes,yes,
resource,admin.purchase-orders.show,admin/purchase-orders/{id},PurchaseOrderController,show,,3,purchasing.purchase-orders,yes,yes,
resource,admin.purchase-orders.edit,admin/purchase-orders/{id}/edit,PurchaseOrderController,edit,,3,purchasing.purchase-orders,yes,yes,
resource,admin.purchase-receives.index,admin/purchase-receives,PurchaseReceiveController,index,,1,purchasing.purchase-receives,yes,yes,
resource,admin.purchase-receives.show,admin/purchase-receives/{id},PurchaseReceiveController,show,,3,purchasing.purchase-receives,yes,yes,
resource,admin.purchase-returns.index,admin/purchase-returns,PurchaseReturnController,index,,1,purchasing.purchase-returns,yes,yes,
resource,admin.purchase-returns.show,admin/purchase-returns/{id},PurchaseReturnController,show,,3,purchasing.purchase-returns,yes,yes,
resource,admin.sales-invoices.index,admin/sales-invoices,SalesInvoiceController,index,,1,sales.invoices,yes,yes,
resource,admin.sales-invoices.show,admin/sales-invoices/{id},SalesInvoiceController,show,,3,sales.invoices,yes,yes,
resource,admin.sales-challans.index,admin/sales-challans,SalesChallanController,index,,1,sales.challans,yes,yes,
resource,admin.sales-challans.show,admin/sales-challans/{id},SalesChallanController,show,,3,sales.challans,yes,yes,
resource,admin.customer-payments.index,admin/customer-payments,CustomerPaymentController,index,,1,sales.customer-payments,yes,yes,
resource,admin.customer-payments.create,admin/customer-payments/create,CustomerPaymentController,create,,3,sales.customer-payments,yes,yes,
resource,admin.supplier-transactions.index,admin/supplier-transactions,SupplierTransactionController,index,,1,accounting.supplier-transactions,yes,yes,
resource,admin.supplier-transactions.create,admin/supplier-transactions/create,SupplierTransactionController,create,,3,accounting.supplier-transactions,yes,yes,
resource,admin.employee-transactions.index,admin/employee-transactions,EmployeeTransactionController,index,,1,accounting.employee-transactions,yes,yes,
resource,admin.employee-transactions.create,admin/employee-transactions/create,EmployeeTransactionController,create,,3,accounting.employee-transactions,yes,yes,
resource,admin.money-transfers.index,admin/money-transfers,MoneyTransferController,index,,1,accounting.money-transfers,yes,yes,
resource,admin.money-transfers.create,admin/money-transfers/create,MoneyTransferController,create,,3,accounting.money-transfers,yes,yes,
resource,admin.other-incomes.index,admin/other-incomes,OtherIncomeController,index,,1,accounting.other-incomes,yes,yes,
